age,gender,physical_activity_level,diet_type,bmi,caffeine_intake_mg,water_intake_liters,screen_time_hours,daily_steps,calories_burned,resting_heart_rate,deep_sleep_hours,sleep_quality_score,daily_stress_level,sleep_deviation
61,Male,High,Average,35.0,268.0,2.8,7.7,14394,2354,78.0,1.7,5.3,Low,0.0
42,Male,Low,Average,25.1,106.0,3.0,8.8,5139,1139,70.0,2.5,4.1,Medium,0.9000000000000004
66,Male,Medium,Average,21.1,100.0,2.2,8.3,6965,1365,54.0,1.2,3.1,Medium,1.0
44,Female,Medium,Average,22.5,38.0,1.6,2.7,3898,1394,64.0,1.5,5.3,Low,0.09999999999999964
59,Male,Medium,Average,17.5,250.0,2.5,6.9,9331,1467,62.0,2.2,4.0,Medium,1.7000000000000002
45,Other,Medium,Healthy,31.4,233.0,2.9,8.3,7713,1959,76.0,1.2,3.6,Medium,1.0999999999999996
33,Female,Medium,Average,31.4,217.0,2.1,9.4,10403,1957,69.0,1.2,3.4,Medium,1.0999999999999996
32,Male,Medium,Average,20.9,112.0,2.7,8.1,8843,1786,60.0,1.8,4.0,Medium,1.0
68,Female,Medium,Average,25.4,175.0,3.4,6.4,10541,1479,60.0,1.4,4.6,Low,0.5
61,Female,Low,Average,21.2,344.0,2.2,7.7,3627,1198,67.0,1.8,3.6,Medium,2.3
69,Male,Medium,Average,18.0,435.0,1.6,13.5,4830,824,66.0,1.0,1.9,High,2.9000000000000004
20,Male,Low,Average,24.2,366.0,2.4,10.0,2692,1070,82.0,1.3,3.3,High,1.9000000000000004
54,Female,Medium,Average,23.7,275.0,3.9,7.9,6124,1478,71.0,2.1,4.9,Medium,0.5
68,Female,Medium,Average,23.4,347.0,1.1,8.8,6957,1183,71.0,1.8,2.6,Medium,2.7
24,Female,Medium,Unhealthy,25.9,22.0,0.6,7.2,7749,1481,62.0,2.0,4.4,Medium,0.0
38,Female,Medium,Average,30.7,92.0,2.4,7.2,8635,1646,73.0,2.3,4.2,Low,0.1999999999999993
26,Female,Medium,Average,23.8,278.0,2.2,9.4,10748,1647,60.0,1.7,3.6,Medium,1.4000000000000004
56,Female,High,Average,25.7,182.0,2.3,5.5,11387,1598,61.0,1.2,3.7,Low,1.2999999999999998
35,Male,High,Average,27.9,250.0,2.3,6.7,9834,1894,70.0,1.4,3.1,Low,2.0
21,Female,Medium,Healthy,27.2,346.0,3.3,3.6,9661,1836,69.0,2.4,5.8,Low,0.6999999999999993
42,Female,Medium,Average,22.5,323.0,2.5,8.9,10664,1290,65.0,0.9,2.2,Low,2.5
31,Female,Medium,Average,25.4,36.0,3.2,9.7,7019,1734,65.0,1.2,3.5,Low,1.5
67,Female,Low,Average,27.2,201.0,0.5,8.5,5561,1548,77.0,1.6,3.1,High,2.8
26,Male,Medium,Average,20.5,61.0,2.1,6.4,9540,1161,57.0,0.9,2.9,Low,2.5
43,Female,High,Average,30.1,83.0,1.8,6.9,8874,1934,66.0,1.5,4.7,Medium,0.09999999999999964
19,Female,Medium,Healthy,30.7,0.0,0.7,7.4,6726,2156,70.0,1.3,4.0,Low,1.2999999999999998
37,Male,Medium,Average,22.1,220.0,2.6,9.7,7046,1347,64.0,1.2,3.6,Low,0.7999999999999998
45,Male,Low,Average,25.8,0.0,2.4,9.6,6982,1239,68.0,2.1,3.7,Low,1.2999999999999998
64,Male,Low,Average,27.6,259.0,2.1,3.4,4762,1755,81.0,2.1,5.3,Low,0.09999999999999964
24,Male,Low,Average,22.8,403.0,2.4,4.8,3244,1584,71.0,1.2,4.3,Medium,1.5
61,Male,Medium,Healthy,26.9,279.0,2.6,8.1,6605,1393,71.0,1.3,3.2,Low,0.5999999999999996
25,Male,Medium,Average,25.7,207.0,3.3,3.7,4860,1320,76.0,1.7,4.3,Low,1.5999999999999996
64,Female,Medium,Average,19.1,430.0,3.0,9.3,10132,1367,61.0,1.5,3.8,Medium,2.4000000000000004
52,Female,Medium,Average,26.8,249.0,2.8,6.3,8791,1304,68.0,1.8,4.4,Medium,1.9000000000000004
31,Female,Medium,Average,20.6,70.0,4.3,8.8,9238,1815,58.0,1.9,3.9,Low,1.5999999999999996
34,Female,Medium,Average,28.8,218.0,1.9,7.1,5428,1646,71.0,1.9,3.9,Low,2.5
53,Male,Medium,Average,22.3,493.0,1.4,6.8,9471,1502,69.0,1.7,4.7,Medium,2.5
67,Male,Medium,Average,24.4,36.0,3.4,4.3,7523,1592,64.0,1.3,4.3,Low,1.2999999999999998
57,Female,Medium,Healthy,30.5,0.0,4.0,5.6,6545,1735,72.0,1.5,5.0,Low,0.9000000000000004
21,Male,High,Average,27.0,292.0,2.0,6.7,15539,1868,63.0,1.2,4.6,Low,0.9000000000000004
19,Other,Low,Healthy,20.7,166.0,3.6,6.6,2199,934,69.0,2.1,4.4,Low,1.2999999999999998
23,Female,Low,Unhealthy,20.9,120.0,2.1,8.8,4268,980,66.0,2.2,3.5,Medium,0.5999999999999996
21,Other,Medium,Healthy,26.6,0.0,3.0,6.9,10145,2006,55.0,2.2,5.0,Low,0.5
46,Male,Low,Average,26.4,0.0,2.0,10.8,5337,1723,71.0,2.2,3.6,High,0.5999999999999996
35,Male,Medium,Unhealthy,21.6,442.0,4.0,9.1,8181,1349,69.0,2.1,5.0,Low,1.2999999999999998
43,Female,Medium,Average,20.3,198.0,4.1,7.3,8561,1318,62.0,1.9,3.8,Medium,1.2000000000000002
61,Male,Medium,Average,26.1,0.0,1.7,3.4,9197,1996,63.0,2.0,4.9,Low,0.2999999999999998
51,Female,Medium,Healthy,24.3,377.0,2.7,3.6,7981,1374,73.0,1.5,5.1,Low,0.7999999999999998
27,Male,Medium,Average,33.6,385.0,3.2,8.6,6364,1600,84.0,1.1,3.8,Medium,1.2000000000000002
53,Female,Low,Average,25.1,384.0,1.0,8.8,3275,1436,77.0,1.1,3.5,High,1.4000000000000004
31,Female,Low,Average,32.3,136.0,2.5,2.1,2169,1872,78.0,1.8,5.4,Low,0.40000000000000036
48,Female,Low,Average,20.3,159.0,1.2,8.7,5388,732,60.0,1.1,2.9,Medium,2.0
65,Male,Medium,Healthy,18.7,220.0,3.0,5.6,8795,1366,57.0,1.1,4.0,Low,0.5999999999999996
32,Male,Medium,Unhealthy,20.5,410.0,2.6,6.0,7153,1085,67.0,1.4,3.0,Medium,2.4000000000000004
31,Male,Medium,Healthy,32.0,86.0,1.2,8.8,8472,1881,71.0,2.4,3.6,Low,1.0
40,Female,Medium,Healthy,21.9,304.0,2.0,6.8,5174,1070,66.0,1.7,3.5,Low,2.5
57,Female,Medium,Average,23.2,381.0,2.9,8.7,5862,1040,74.0,1.2,2.4,Medium,2.2
38,Female,Low,Average,20.3,192.0,2.5,6.1,3970,1195,66.0,2.5,5.1,Low,0.0
33,Female,High,Average,17.8,300.0,3.5,5.0,21323,1734,50.0,1.9,4.7,Low,1.2999999999999998
62,Male,Medium,Healthy,27.9,216.0,3.4,10.1,8904,1407,68.0,1.5,3.6,Medium,1.0
35,Female,Medium,Unhealthy,25.9,162.0,3.4,10.3,8370,1348,67.0,0.9,3.5,Low,2.4000000000000004
64,Female,Medium,Unhealthy,25.0,75.0,2.1,5.4,5658,1569,69.0,1.5,4.1,Low,1.7999999999999998
43,Female,Medium,Unhealthy,31.6,107.0,1.7,9.2,10712,1479,65.0,2.1,4.7,Low,0.2999999999999998
42,Male,Low,Average,23.0,53.0,1.5,5.3,3307,1029,67.0,1.5,4.2,Low,0.7000000000000002
62,Male,High,Average,27.1,242.0,3.4,9.0,14211,1906,54.0,2.2,4.3,Medium,0.5999999999999996
58,Male,Medium,Unhealthy,19.2,382.0,1.6,4.4,9183,1411,66.0,2.3,4.6,Low,0.09999999999999964
46,Female,Low,Average,24.2,230.0,1.5,6.3,3369,1426,63.0,1.4,4.4,Medium,1.2999999999999998
32,Male,Low,Unhealthy,26.2,61.0,2.6,9.4,3238,1560,75.0,2.0,4.2,Medium,1.0999999999999996
62,Female,Medium,Average,26.3,328.0,2.3,4.6,4550,1352,76.0,2.0,5.0,Low,1.2999999999999998
18,Female,Medium,Average,25.6,244.0,2.4,5.5,5568,1538,67.0,2.0,5.0,Medium,1.5999999999999996
42,Male,Medium,Average,27.0,274.0,4.3,7.9,9173,1638,69.0,1.3,3.1,Medium,2.5999999999999996
24,Male,High,Average,20.5,122.0,1.7,2.5,12684,1420,50.0,2.5,5.2,Low,0.7000000000000002
26,Female,Medium,Average,25.8,370.0,2.9,7.2,9336,1361,70.0,2.6,5.0,Low,0.5
41,Male,Medium,Unhealthy,25.5,369.0,2.6,9.9,4830,1527,75.0,2.2,4.2,Medium,0.5
18,Female,Medium,Average,25.9,172.0,3.3,9.2,9622,1350,65.0,1.6,2.9,Low,2.2
61,Male,High,Healthy,25.3,307.0,1.9,6.9,13881,1586,59.0,2.5,4.8,Low,0.20000000000000018
25,Female,Medium,Healthy,19.9,365.0,2.3,7.1,5058,1334,72.0,1.1,3.7,Low,1.5999999999999996
41,Female,High,Unhealthy,19.7,130.0,2.6,10.7,17387,1647,50.0,2.5,4.2,Medium,0.3000000000000007
28,Male,Low,Average,17.5,187.0,1.4,10.4,1890,1160,64.0,1.5,2.5,High,1.5
68,Male,Medium,Average,28.3,211.0,1.1,6.8,10154,1753,67.0,2.1,3.4,Low,1.7000000000000002
34,Male,Medium,Unhealthy,28.3,35.0,2.5,5.4,7935,1621,67.0,1.3,4.6,Low,0.5
25,Male,High,Unhealthy,28.4,266.0,3.6,9.1,11319,2102,64.0,1.1,2.9,Medium,2.2
52,Female,Low,Average,26.2,353.0,2.2,9.8,6772,1500,67.0,1.4,3.4,High,1.5999999999999996
52,Female,Low,Healthy,17.5,178.0,2.3,10.4,4607,1115,63.0,2.2,3.6,Medium,1.7000000000000002
50,Male,Low,Average,20.9,250.0,3.4,8.5,5822,1245,67.0,1.7,3.9,Medium,1.5999999999999996
22,Female,Medium,Average,25.7,409.0,2.4,6.1,8865,1663,75.0,2.0,4.6,Low,1.9000000000000004
59,Female,Medium,Unhealthy,25.5,139.0,3.1,2.8,7567,1533,70.0,2.3,5.4,Low,1.2000000000000002
56,Male,High,Unhealthy,24.1,254.0,4.6,11.8,11387,1836,62.0,1.1,2.4,Medium,1.0
58,Male,Medium,Average,26.5,114.0,2.0,11.0,7637,1644,65.0,2.0,3.2,Medium,1.2999999999999998
45,Female,Low,Unhealthy,25.0,110.0,2.4,5.1,4245,1353,74.0,1.5,4.6,Low,0.9000000000000004
24,Female,Low,Healthy,25.5,251.0,2.8,7.5,5224,1534,70.0,1.6,3.7,Low,1.0
26,Female,Low,Average,22.4,236.0,3.7,6.4,3410,946,74.0,1.0,4.3,Medium,1.2000000000000002
25,Female,Medium,Average,28.9,283.0,2.4,7.2,9027,2008,67.0,1.9,4.7,Low,1.5
29,Male,High,Unhealthy,23.3,211.0,3.1,6.0,19035,1625,54.0,2.2,5.2,Low,1.0999999999999996
51,Female,High,Healthy,19.7,269.0,2.8,8.7,14474,1431,50.0,1.3,4.1,Medium,0.09999999999999964
50,Female,Medium,Average,21.9,449.0,2.4,4.2,4081,1167,71.0,2.3,5.8,Medium,0.5
65,Female,Low,Unhealthy,23.6,358.0,2.2,6.0,4072,1392,68.0,1.0,2.8,Medium,3.2
40,Male,Low,Average,29.0,250.0,2.0,9.2,3857,1928,77.0,2.2,4.6,Medium,1.7000000000000002
41,Male,Medium,Healthy,24.8,275.0,5.0,2.1,7747,1756,69.0,1.1,4.6,Low,0.9000000000000004
54,Male,High,Average,24.3,155.0,1.3,7.8,9212,1289,61.0,1.9,5.2,Low,0.5
52,Female,Low,Average,20.0,176.0,1.3,5.6,4414,999,63.0,3.0,4.9,Low,1.3000000000000007
61,Male,Low,Average,28.1,273.0,2.7,11.0,3202,1253,75.0,1.9,3.1,Medium,1.5999999999999996
57,Male,Medium,Unhealthy,22.4,213.0,2.7,7.8,7788,1171,65.0,1.7,3.7,Low,1.5
39,Male,Medium,Healthy,24.6,318.0,2.8,5.0,9896,1507,68.0,2.4,6.2,Low,0.5999999999999996
44,Male,Low,Unhealthy,30.9,390.0,1.8,10.6,2782,1918,86.0,2.4,3.3,Medium,1.2000000000000002
52,Female,High,Average,27.0,184.0,1.7,7.1,13692,1848,62.0,1.2,3.9,Medium,1.0999999999999996
18,Female,Low,Average,18.5,0.0,2.3,7.3,3696,1049,58.0,1.2,4.1,Medium,0.9000000000000004
54,Male,Low,Healthy,24.7,102.0,1.7,5.5,3334,1180,71.0,1.7,4.8,Low,0.5
64,Female,Low,Healthy,20.1,229.0,2.6,10.6,3415,1127,72.0,2.1,2.9,Low,1.5
31,Male,Medium,Unhealthy,27.6,309.0,2.1,8.4,11350,1883,71.0,1.5,4.3,Medium,1.0999999999999996
22,Male,Medium,Average,22.2,145.0,3.2,3.9,8209,1767,59.0,2.4,5.1,Low,0.7999999999999998
43,Male,Medium,Healthy,32.0,378.0,2.0,7.8,8145,1931,79.0,1.8,2.8,Low,1.7999999999999998
31,Female,Medium,Unhealthy,36.4,229.0,3.5,6.6,8960,2284,74.0,1.0,4.5,Low,1.5999999999999996
56,Female,Medium,Unhealthy,23.9,611.0,2.5,7.8,6734,1516,78.0,2.2,4.6,Medium,1.7999999999999998
44,Female,Low,Average,26.4,365.0,1.4,2.7,6102,1206,74.0,1.3,4.0,Medium,1.0999999999999996
26,Male,High,Average,25.4,173.0,2.9,5.7,11239,1227,68.0,1.7,4.8,Low,1.2000000000000002
32,Male,High,Average,24.0,81.0,1.9,4.5,13506,1515,55.0,1.4,3.3,Low,0.9000000000000004
32,Male,Low,Healthy,21.7,0.0,2.2,8.2,2220,1422,65.0,1.5,3.9,Low,0.7000000000000002
43,Other,Medium,Average,20.7,301.0,3.4,5.5,9794,1347,60.0,1.1,3.9,Medium,1.0999999999999996
59,Female,Medium,Healthy,20.5,351.0,1.5,8.2,6157,1426,65.0,2.0,3.6,Low,1.0
68,Male,Medium,Average,22.9,0.0,1.6,11.1,8529,1229,59.0,1.7,3.1,High,2.0999999999999996
49,Female,Medium,Unhealthy,17.5,11.0,1.5,7.1,8352,1504,50.0,1.7,4.9,Low,0.2999999999999998
66,Female,Low,Average,24.8,467.0,1.8,6.7,3093,1322,73.0,1.8,4.6,High,0.7999999999999998
69,Female,Medium,Average,30.4,191.0,2.3,9.3,10933,1741,69.0,2.5,5.6,Medium,0.5999999999999996
49,Female,Medium,Unhealthy,26.5,363.0,3.0,5.1,7232,1661,70.0,2.0,4.4,Low,1.7000000000000002
47,Male,Medium,Unhealthy,17.5,231.0,1.3,5.8,7613,1338,61.0,2.1,3.8,Medium,2.0
40,Female,Low,Average,22.5,378.0,1.9,4.0,2495,1540,77.0,2.2,5.1,High,0.1999999999999993
56,Male,High,Average,28.8,119.0,4.0,12.2,14321,2163,61.0,1.8,3.6,Medium,1.7000000000000002
62,Male,Medium,Average,25.0,451.0,2.2,3.6,8036,1734,69.0,1.1,4.0,Medium,1.5
32,Male,Medium,Unhealthy,29.5,153.0,2.4,8.8,8872,1740,69.0,2.2,5.2,Low,0.8000000000000007
60,Male,Medium,Average,19.7,39.0,0.7,5.4,8810,1301,57.0,1.5,4.4,Low,0.3000000000000007
46,Male,Medium,Healthy,28.9,44.0,1.6,7.6,6278,1758,71.0,2.3,5.2,Low,0.09999999999999964
53,Female,Low,Average,27.9,106.0,0.7,6.6,5959,1385,74.0,1.4,4.0,Medium,0.40000000000000036
30,Male,Medium,Average,17.5,255.0,2.7,4.9,7884,1415,61.0,2.4,5.8,Medium,0.20000000000000018
49,Male,Medium,Unhealthy,30.3,108.0,2.4,7.2,9460,1866,72.0,1.4,2.8,Medium,2.9000000000000004
24,Female,Medium,Average,25.4,76.0,3.0,6.0,5478,1527,72.0,1.3,3.8,Low,0.9000000000000004
68,Female,Medium,Average,26.6,333.0,3.1,8.4,7170,1313,73.0,1.6,3.0,Medium,2.0999999999999996
39,Female,Medium,Average,21.5,0.0,3.3,4.5,10157,1408,54.0,1.0,3.1,Low,1.7000000000000002
45,Male,Low,Healthy,30.1,135.0,2.3,8.2,6453,1935,73.0,0.9,3.5,Medium,2.3
19,Female,Medium,Average,20.3,0.0,2.6,9.2,8848,1452,55.0,1.3,4.2,Low,1.0999999999999996
59,Female,Medium,Average,28.3,69.0,3.0,6.7,7823,1893,72.0,1.4,4.0,Low,2.0
62,Male,Medium,Average,28.3,236.0,1.9,3.7,5875,1582,72.0,1.3,4.3,Low,1.0
23,Male,Medium,Unhealthy,21.1,169.0,1.7,11.3,9594,1464,62.0,1.9,2.5,Medium,1.9000000000000004
45,Female,Medium,Average,32.9,155.0,3.7,8.2,8613,1968,73.0,1.4,4.8,Medium,0.09999999999999964
61,Female,Low,Unhealthy,27.6,197.0,2.9,8.2,1400,1488,82.0,1.1,3.5,Medium,0.5999999999999996
61,Female,Low,Average,18.9,470.0,2.8,2.8,4525,1049,70.0,1.6,4.3,Low,2.0
37,Female,Medium,Average,33.5,306.0,1.6,9.9,6335,1416,82.0,2.0,4.5,Low,0.5999999999999996
47,Female,Low,Healthy,20.1,54.0,2.0,12.3,2440,1136,63.0,1.3,3.6,Low,0.9000000000000004
28,Male,Medium,Average,29.1,490.0,2.2,9.1,7791,1431,79.0,1.2,3.5,Medium,2.0
45,Male,Low,Unhealthy,21.0,241.0,2.7,4.5,4514,1368,71.0,1.8,3.4,Medium,2.0999999999999996
42,Male,Low,Average,22.5,480.0,2.8,2.0,6145,1537,76.0,2.4,5.3,Low,0.7999999999999998
56,Female,Low,Average,28.2,160.0,2.5,10.4,2773,1064,76.0,1.4,3.4,Medium,1.7000000000000002
50,Female,Medium,Average,29.1,240.0,2.7,6.6,8871,1869,78.0,1.5,3.0,Medium,1.7000000000000002
18,Female,High,Average,19.9,264.0,3.0,6.0,10920,1486,56.0,1.2,4.3,Low,0.40000000000000036
44,Male,Medium,Healthy,29.4,174.0,3.0,9.9,7009,1825,71.0,2.0,3.6,Low,1.7000000000000002
69,Female,Low,Unhealthy,29.2,390.0,3.7,5.5,4283,1384,80.0,1.9,3.7,High,1.4000000000000004
58,Male,Low,Average,31.4,0.0,2.5,7.1,1950,1396,75.0,1.6,4.0,Low,2.0
20,Female,Medium,Healthy,19.2,322.0,3.0,7.6,9026,1459,57.0,1.3,4.0,Low,0.2999999999999998
56,Female,High,Average,22.5,65.0,2.8,11.1,16223,1860,50.0,1.9,4.1,Medium,1.7999999999999998
23,Other,Medium,Healthy,26.9,0.0,2.6,5.8,12718,1787,58.0,1.1,4.2,Low,1.5
25,Male,Low,Average,21.6,277.0,1.8,5.5,4332,1338,74.0,1.6,3.8,Medium,1.5999999999999996
44,Female,Medium,Healthy,26.1,277.0,2.6,6.5,8347,1449,67.0,2.2,5.0,Low,0.5
54,Male,Medium,Average,24.3,255.0,3.4,9.3,5271,1658,68.0,1.1,4.0,Medium,1.5999999999999996
50,Female,Medium,Unhealthy,28.3,331.0,2.8,9.0,5408,1856,79.0,1.7,3.6,Medium,2.3
68,Female,Medium,Average,24.1,109.0,2.4,7.0,7834,1298,65.0,2.4,5.2,Low,0.0
59,Female,High,Unhealthy,25.9,239.0,2.2,4.7,7108,1455,72.0,1.3,3.4,Medium,2.0999999999999996
61,Male,Medium,Average,29.6,304.0,3.0,2.0,5738,1598,74.0,1.4,4.3,Low,0.5999999999999996
41,Female,High,Healthy,28.2,402.0,4.0,4.9,12507,1922,68.0,2.9,6.4,Low,0.8000000000000007
32,Male,Medium,Average,28.1,206.0,2.8,6.4,10017,1778,67.0,1.9,4.5,Low,1.2999999999999998
49,Female,Medium,Healthy,20.4,167.0,4.0,2.3,8518,1619,59.0,1.7,4.9,Low,1.2999999999999998
49,Male,Medium,Healthy,27.1,191.0,3.1,13.2,4964,1860,76.0,0.9,2.0,Medium,3.5
41,Male,Low,Average,21.5,20.0,1.9,8.0,3939,1593,63.0,1.7,4.0,Low,0.5999999999999996
58,Female,Medium,Average,19.9,315.0,2.9,8.4,9166,1793,60.0,1.6,3.9,Medium,0.7999999999999998
69,Female,Medium,Healthy,24.7,0.0,2.8,6.6,9428,1296,58.0,2.8,5.4,Low,0.1999999999999993
66,Male,Low,Average,21.4,258.0,1.9,8.8,5568,1254,73.0,1.4,3.7,Medium,0.20000000000000018
66,Male,Medium,Average,28.2,212.0,2.2,6.2,10396,1687,64.0,1.8,4.9,Low,0.40000000000000036
69,Female,Medium,Average,28.3,0.0,2.2,6.6,9139,1600,67.0,1.0,3.2,Low,2.0
29,Male,High,Unhealthy,17.5,0.0,2.6,10.5,15461,1775,50.0,2.1,4.4,Medium,0.3000000000000007
56,Male,Medium,Healthy,21.7,71.0,2.3,9.7,8465,1507,61.0,2.0,3.7,Low,1.7999999999999998
19,Male,Medium,Average,19.2,148.0,2.7,7.0,9684,1029,53.0,2.3,4.4,Low,1.4000000000000004
20,Male,High,Healthy,23.1,422.0,2.8,12.1,11636,2139,64.0,1.5,3.4,Medium,1.0
66,Female,Medium,Healthy,26.8,183.0,3.5,6.8,7591,1280,70.0,1.4,3.2,Low,0.7999999999999998
54,Female,Low,Unhealthy,24.0,281.0,2.9,5.7,2950,1247,74.0,1.7,3.9,Medium,1.7999999999999998
66,Female,Low,Average,22.6,389.0,1.9,7.3,4650,1333,75.0,1.4,3.9,Medium,1.2000000000000002
34,Other,High,Average,30.2,360.0,4.2,7.8,13223,1812,70.0,0.8,1.9,Medium,3.2
66,Male,Low,Average,17.5,198.0,1.9,4.0,5520,1205,59.0,1.5,4.6,Low,0.09999999999999964
19,Male,Medium,Average,29.9,94.0,2.2,8.2,8104,1695,72.0,1.0,4.3,Medium,1.4000000000000004
19,Male,Medium,Unhealthy,22.8,274.0,3.0,12.3,10127,1709,63.0,2.6,4.5,High,0.20000000000000018
40,Male,High,Healthy,22.9,472.0,2.8,8.7,11840,1117,59.0,2.4,4.2,Medium,0.2999999999999998
54,Female,Medium,Unhealthy,31.2,330.0,2.0,8.2,9876,1644,74.0,2.0,4.2,Medium,0.7999999999999998
49,Female,High,Average,20.1,231.0,1.2,4.5,14060,1737,52.0,1.5,6.1,Low,0.1999999999999993
50,Male,Low,Average,25.0,276.0,1.1,4.5,5583,1554,71.0,1.7,4.6,Low,0.40000000000000036
18,Female,Low,Average,27.1,226.0,2.5,7.4,4376,1324,78.0,1.7,4.1,Medium,0.7999999999999998
36,Female,High,Unhealthy,18.6,144.0,2.9,5.9,11198,1244,51.0,2.3,4.3,Low,0.09999999999999964
19,Female,Medium,Healthy,21.3,274.0,1.4,3.4,11586,1510,60.0,2.6,5.0,Low,0.2999999999999998
43,Female,Medium,Healthy,21.5,490.0,1.4,8.1,6508,1789,74.0,1.3,3.3,Low,2.3
49,Female,Medium,Average,21.7,96.0,1.8,8.5,9639,1274,59.0,1.2,4.5,Low,1.5
23,Female,High,Unhealthy,23.6,276.0,3.0,4.9,11265,1636,57.0,2.3,4.7,Low,0.7999999999999998
21,Male,Medium,Healthy,23.6,81.0,3.5,8.0,6464,1401,66.0,2.4,4.9,Low,0.40000000000000036
28,Male,High,Average,29.3,0.0,2.0,3.8,16460,2187,55.0,2.5,5.5,Low,0.1999999999999993
34,Female,Medium,Average,21.0,261.0,3.4,5.1,12279,1349,55.0,1.2,4.8,Low,0.2999999999999998
55,Male,Medium,Average,20.0,120.0,4.3,7.0,8009,1210,56.0,1.4,4.6,Low,1.0
41,Male,Medium,Healthy,32.7,362.0,1.9,4.7,6551,1712,83.0,1.9,6.3,Low,0.5999999999999996
22,Female,Medium,Average,22.4,261.0,4.5,6.2,10469,1794,56.0,2.1,3.3,Low,1.0999999999999996
69,Male,Low,Unhealthy,19.8,222.0,2.5,13.2,3077,979,66.0,2.0,2.5,High,1.9000000000000004
51,Female,Medium,Average,18.0,0.0,2.0,3.2,7111,1035,58.0,1.7,4.6,Low,0.9000000000000004
23,Female,Medium,Average,29.3,287.0,2.3,10.6,8833,1646,68.0,2.5,4.3,Medium,0.7999999999999998
39,Female,Low,Average,23.6,100.0,2.2,7.9,5711,1484,62.0,2.0,4.3,Low,0.20000000000000018
28,Female,Low,Healthy,24.0,0.0,3.6,3.9,4105,1480,69.0,2.2,5.6,Low,0.9000000000000004
65,Male,Low,Average,24.4,264.0,3.6,8.7,3467,959,73.0,2.0,4.6,Medium,0.40000000000000036
33,Female,Low,Average,29.1,11.0,3.5,7.1,7481,1767,73.0,2.2,3.6,Medium,0.7000000000000002
50,Female,Medium,Healthy,24.3,0.0,1.5,10.0,6658,1541,63.0,1.4,2.5,Low,2.0
